Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Russian Federation,2012,Location,,Voronezh Region,Average,11.4,96.5,...,2.2,3.5,...,...,0.1,...,9.2,29.1,...,...,...
Russian Federation,2012,Location,,Yaroslavl Region,Average,8.6,98.1,...,2.2,0.0,...,...,1.2,...,3.9,9.6,...,...,...
Russian Federation,2012,Exporter Type,,Direct exports are 10% or more of sales,Average,12.7,93.9,...,10.4,0.5,...,...,0.1,...,31.6,41.9,...,...,...
Russian Federation,2012,Exporter Type,,Non-exporter,Average,10.6,94.9,...,5.4,0.5,...,...,1.0,...,11.4,22.3,...,...,...
Russian Federation,2012,Gender of Top Manager,,Top manager is female,Average,10.7,96.2,...,4.1,0.7,...,...,1.8,...,8.1,11.8,...,...,...
Russian Federation,2012,Gender of Top Manager,,Top manager is male,Average,10.7,94.2,...,6.3,0.5,...,...,0.8,...,13.8,26.1,...,...,...
Russian Federation,2012,Ownership Type,,Domestic,Average,10.8,99.7,...,0.0,0.6,...,...,1.0,...,12.2,19.3,...,...,...
Russian Federation,2012,Ownership Type,,10% or more foreign ownership,Average,9.0,13.8,...,100.0,0.1,...,...,0.0,...,17.4,82.5,...,...,...
Rwanda,2006,,,,Average,10.1,82.0,...,18.2,3.0,...,...,59.5,...,10.8,40.1,...,...,...
Rwanda,2006,Sector,Manufacturing,All,Average,12.7,79.6,...,22.2,5.9,...,...,34.6,...,12.2,39.6,...,...,...
Rwanda,2006,Sector,Manufacturing,Food,Average,10.9,76.5,...,26.0,8.7,...,...,30.6,...,8.7,39.3,...,...,...
Rwanda,2006,Sector,Manufacturing,Garments,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Rwanda,2006,Sector,Manufacturing,Other Manufacturing,Average,15.6,80.3,...,21.0,3.5,...,...,33.0,...,15.0,45.5,...,...,...
Rwanda,2006,Sector,Services,All,Average,8.8,83.2,...,16.1,1.6,...,...,71.9,...,10.2,40.3,...,...,...
Rwanda,2006,Sector,Services,Retail,Average,8.6,82.5,...,13.4,0.0,...,...,66.5,...,11.2,46.9,...,...,...
Rwanda,2006,Sector,Services,Other Services,Average,8.9,83.4,...,16.8,2.0,...,...,73.3,...,9.9,38.6,...,...,...
Rwanda,2006,Size,,Small (5-19),Average,7.7,90.3,...,9.2,0.0,...,...,77.2,...,8.5,29.1,...,...,...
Rwanda,2006,Size,,Medium (20-99),Average,12.9,75.1,...,30.0,1.8,...,...,31.7,...,8.3,51.6,...,...,...
Rwanda,2006,Size,,Large (100+),Average,17.5,47.7,...,42.3,26.4,...,...,24.5,...,33.7,78.6,...,...,...
Rwanda,2006,Location,,Butare,Average,8.4,89.8,...,18.5,6.5,...,...,50.0,...,0.0,6.5,...,...,...
Rwanda,2006,Location,,Kigali,Average,10.3,81.4,...,18.1,2.7,...,...,60.3,...,11.7,42.9,...,...,...
Rwanda,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,12.0,66.0,...,32.6,14.7,...,...,18.3,...,20.9,51.8,...,...,...
Rwanda,2006,Exporter Type,,Non-exporter,Average,9.9,83.5,...,16.8,1.9,...,...,63.3,...,9.9,39.0,...,...,...
Rwanda,2006,Ownership Type,,Domestic,Average,8.9,97.1,...,0.0,2.1,...,...,66.6,...,7.5,36.1,...,...,...
Rwanda,2006,Ownership Type,,10% or more foreign ownership,Average,15.5,14.0,...,100.0,6.9,...,...,27.6,...,25.7,58.1,...,...,...
Rwanda,2011,,,,Average,9.3,84.4,...,18.7,0.5,...,...,42.9,...,11.7,54.4,...,...,...
Rwanda,2011,Sector,Manufacturing,All,Average,11.7,80.8,...,24.8,0.0,...,...,35.7,...,20.0,56.6,...,...,...
Rwanda,2011,Sector,Manufacturing,Manufacturing,Average,11.7,80.8,...,24.8,0.0,...,...,35.7,...,20.0,56.6,...,...,...
Rwanda,2011,Sector,Services,All,Average,8.8,85.3,...,17.2,0.7,...,...,44.5,...,9.9,54.0,...,...,...
Rwanda,2011,Sector,Services,Services,Average,8.8,85.3,...,17.2,0.7,...,...,44.5,...,9.9,54.0,...,...,...
Rwanda,2011,Size,,Small (5-19),Average,8.2,89.3,...,14.9,0.0,...,...,49.8,...,9.1,44.9,...,...,...
Rwanda,2011,Size,,Medium (20-99),Average,11.0,80.6,...,21.2,0.0,...,...,33.8,...,13.3,67.7,...,...,...
Rwanda,2011,Size,,Large (100+),Average,11.5,65.3,...,35.0,5.1,...,...,24.9,...,23.9,78.4,...,...,...
Rwanda,2011,Location,,Butare,Average,6.7,100.0,...,0.0,0.0,...,...,35.1,...,52.5,11.6,...,...,...
Rwanda,2011,Location,,Kigali,Average,9.4,84.1,...,19.1,0.5,...,...,43.1,...,10.7,55.0,...,...,...
Rwanda,2011,Exporter Type,,Direct exports are 10% or more of sales,Average,14.9,18.6,...,93.5,0.0,...,...,0.0,...,80.4,93.5,...,...,...
Rwanda,2011,Exporter Type,,Non-exporter,Average,9.2,86.1,...,16.8,0.5,...,...,44.0,...,10.6,53.5,...,...,...
Rwanda,2011,Gender of Top Manager,,Top manager is female,Average,11.0,81.1,...,23.2,0.0,...,...,43.3,...,2.2,45.4,...,...,...
Rwanda,2011,Gender of Top Manager,,Top manager is male,Average,8.9,85.3,...,17.5,0.7,...,...,42.8,...,14.1,56.6,...,...,...
Rwanda,2011,Ownership Type,,Domestic,Average,8.9,99.4,...,0.0,0.3,...,...,49.6,...,9.6,50.1,...,...,...
Rwanda,2011,Ownership Type,,10% or more foreign ownership,Average,11.2,19.3,...,100.0,1.4,...,...,14.1,...,20.6,72.8,...,...,...
Sudan,2014,,,,Average,13.3,35.2,...,1.2,0.1,...,...,68.9,...,7.0,55.8,...,...,...
Sudan,2014,Sector,Manufacturing,All,Average,16.2,45.9,...,2.4,0.0,...,...,69.2,...,11.3,67.1,...,...,...
Sudan,2014,Sector,Manufacturing,Manufacturing,Average,16.2,45.9,...,2.4,0.0,...,...,69.2,...,11.3,67.1,...,...,...
Sudan,2014,Sector,Services,All,Average,12.9,33.8,...,1.1,0.1,...,...,68.9,...,6.5,54.1,...,...,...
Sudan,2014,Sector,Services,Wholesale,Average,13.2,36.9,...,1.5,0.0,...,...,67.9,...,4.6,56.0,...,...,...
Sudan,2014,Sector,Services,Retail,Average,12.1,24.7,...,0.5,0.5,...,...,74.6,...,6.5,52.7,...,...,...
Sudan,2014,Sector,Services,Services,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Sudan,2014,Sector,Services,Other Services,Average,13.0,36.9,...,0.9,0.0,...,...,65.2,...,9.7,52.4,...,...,...
Sudan,2014,Size,,Small (5-19),Average,12.7,30.2,...,1.3,0.0,...,...,74.5,...,5.3,59.1,...,...,...
Sudan,2014,Size,,Medium (20-99),Average,13.3,39.9,...,1.0,0.3,...,...,60.8,...,8.8,49.3,...,...,...
Sudan,2014,Size,,Large (100+),Average,18.1,49.6,...,1.6,0.0,...,...,67.1,...,11.6,61.8,...,...,...
Sudan,2014,Location,,Bahri,Average,12.1,42.3,...,3.3,0.0,...,...,72.2,...,15.3,46.5,...,...,...
Sudan,2014,Location,,Khartoum,Average,13.5,36.9,...,1.0,0.1,...,...,66.3,...,6.5,55.9,...,...,...
Sudan,2014,Location,,Om Durman,Average,12.8,24.9,...,1.6,0.0,...,...,80.0,...,6.3,59.2,...,...,...
Sudan,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,13.8,38.9,...,5.9,0.0,...,...,58.8,...,12.9,47.2,...,...,...
Sudan,2014,Exporter Type,,Non-exporter,Average,13.2,34.9,...,0.9,0.1,...,...,69.8,...,6.5,56.5,...,...,...
Sudan,2014,Gender of Top Manager,,Top manager is female,Average,13.4,53.9,...,0.0,0.0,...,...,62.7,...,17.4,77.4,...,...,...
Sudan,2014,Gender of Top Manager,,Top manager is male,Average,13.3,34.8,...,1.3,0.1,...,...,69.0,...,6.7,55.1,...,...,...
Sudan,2014,Ownership Type,,Domestic,Average,13.1,35.3,...,0.0,0.0,...,...,70.2,...,6.9,56.0,...,...,...
Sudan,2014,Ownership Type,,10% or more foreign ownership,Average,15.9,30.2,...,100.0,8.3,...,...,27.2,...,22.6,41.8,...,...,...
Senegal,2007,,,,Average,11.1,95.4,...,6.0,0.6,...,...,74.5,...,6.1,25.8,...,...,...
Senegal,2007,Sector,Manufacturing,All,Average,13.6,93.0,...,8.5,1.1,...,...,68.4,...,8.0,32.6,...,...,...
Senegal,2007,Sector,Manufacturing,Food,Average,13.7,89.7,...,11.6,1.6,...,...,70.6,...,10.8,44.0,...,...,...
Senegal,2007,Sector,Manufacturing,Garments,Average,12.3,99.8,...,0.0,0.0,...,...,95.9,...,4.7,4.9,...,...,...
Senegal,2007,Sector,Manufacturing,Chemicals & Chemical Products,Average,25.5,64.5,...,36.4,9.1,...,...,18.2,...,20.0,72.7,...,...,...
Senegal,2007,Sector,Manufacturing,Fabricated Metal Products,Average,13.3,100.0,...,0.0,0.0,...,...,74.8,...,0.0,23.0,...,...,...
Senegal,2007,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,12.0,97.5,...,4.8,0.0,...,...,68.7,...,6.1,24.5,...,...,...
Senegal,2007,Sector,Services,All,Average,9.7,96.7,...,4.6,0.3,...,...,77.9,...,5.1,22.0,...,...,...
Senegal,2007,Sector,Services,Retail,Average,8.9,98.6,...,1.4,0.0,...,...,84.8,...,3.0,16.7,...,...,...
Senegal,2007,Sector,Services,Rest of Universe-Services,Average,11.1,93.0,...,10.8,0.9,...,...,64.7,...,9.0,32.2,...,...,...
Senegal,2007,Size,,Small (5-19),Average,9.3,98.2,...,2.5,0.0,...,...,82.3,...,2.5,16.3,...,...,...
Senegal,2007,Size,,Medium (20-99),Average,16.7,91.4,...,12.2,1.3,...,...,47.6,...,17.6,59.6,...,...,...
Senegal,2007,Size,,Large (100+),Average,25.1,56.2,...,52.1,9.6,...,...,17.5,...,39.7,91.2,...,...,...
Senegal,2007,Location,,Dakar,Average,11.0,94.9,...,6.7,0.7,...,...,73.2,...,6.3,27.6,...,...,...
Senegal,2007,Location,,Kaolack,Average,9.2,100.0,...,0.0,0.0,...,...,89.4,...,0.0,14.2,...,...,...
Senegal,2007,Location,,Saint-Louis,Average,10.6,100.0,...,0.0,0.0,...,...,85.4,...,1.8,12.3,...,...,...
Senegal,2007,Location,,ThièS,Average,14.4,97.6,...,3.1,0.0,...,...,77.8,...,11.3,11.3,...,...,...
Senegal,2007,Exporter Type,,Direct exports are 10% or more of sales,Average,17.2,75.8,...,28.3,4.8,...,...,42.4,...,24.3,65.2,...,...,...
Senegal,2007,Exporter Type,,Non-exporter,Average,10.5,97.2,...,3.9,0.2,...,...,77.5,...,4.5,22.1,...,...,...
Senegal,2007,Ownership Type,,Domestic,Average,10.5,100.0,...,0.0,0.0,...,...,78.8,...,4.8,22.7,...,...,...
Senegal,2007,Ownership Type,,10% or more foreign ownership,Average,20.4,23.5,...,100.0,10.1,...,...,6.3,...,26.9,75.4,...,...,...
Senegal,2014,,,,Average,16.6,87.0,...,13.0,1.9,...,...,58.1,...,9.3,37.3,...,...,...
Senegal,2014,Sector,Manufacturing,All,Average,18.5,87.4,...,12.3,1.1,...,...,54.3,...,11.7,34.7,...,...,...
Senegal,2014,Sector,Manufacturing,Food,Average,14.3,85.8,...,13.1,0.0,...,...,60.7,...,10.3,34.4,...,...,...
Senegal,2014,Sector,Manufacturing,Other Manufacturing,Average,22.6,89.0,...,11.4,2.2,...,...,47.9,...,13.2,35.0,...,...,...
Senegal,2014,Sector,Services,All,Average,16.0,86.9,...,13.2,2.2,...,...,59.2,...,8.6,38.1,...,...,...
Senegal,2014,Sector,Services,Retail,Average,13.6,98.3,...,2.9,0.2,...,...,86.2,...,0.3,33.9,...,...,...
Senegal,2014,Sector,Services,Other Services,Average,18.5,78.0,...,20.9,4.8,...,...,35.9,...,14.4,45.6,...,...,...
Senegal,2014,Sector,Services,Tourism,Average,14.7,84.4,...,16.5,0.0,...,...,60.1,...,11.7,27.3,...,...,...
Senegal,2014,Size,,Small (5-19),Average,14.1,91.7,...,6.7,0.2,...,...,75.5,...,3.3,29.9,...,...,...
Senegal,2014,Size,,Medium (20-99),Average,18.8,82.1,...,19.4,0.0,...,...,30.6,...,9.9,48.6,...,...,...
Senegal,2014,Size,,Large (100+),Average,24.7,72.9,...,32.8,13.9,...,...,22.9,...,39.4,53.7,...,...,...
Senegal,2014,Location,,Dakar,Average,16.7,86.2,...,13.7,2.2,...,...,52.9,...,10.7,41.8,...,...,...
Senegal,2014,Location,,Kaolack,Average,20.1,94.2,...,6.4,0.0,...,...,91.2,...,1.3,12.2,...,...,...
Senegal,2014,Location,,Saint-Louis,Average,11.7,90.8,...,6.5,0.0,...,...,89.1,...,0.0,3.7,...,...,...
Senegal,2014,Location,,ThièS,Average,15.1,91.1,...,10.8,0.5,...,...,86.5,...,2.0,14.2,...,...,...
Senegal,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,32.4,73.4,...,47.3,3.8,...,...,6.6,...,51.4,64.2,...,...,...
Senegal,2014,Exporter Type,,Non-exporter,Average,15.3,88.9,...,9.4,1.8,...,...,62.6,...,5.0,35.6,...,...,...
Senegal,2014,Gender of Top Manager,,Top manager is female,Average,13.0,85.9,...,5.9,0.0,...,...,69.9,...,0.4,48.7,...,...,...
Senegal,2014,Gender of Top Manager,,Top manager is male,Average,17.1,87.3,...,14.1,2.2,...,...,56.1,...,10.8,35.5,...,...,...
Senegal,2014,Ownership Type,,Domestic,Average,15.8,96.0,...,0.0,1.1,...,...,64.7,...,6.0,33.0,...,...,...
Senegal,2014,Ownership Type,,10% or more foreign ownership,Average,22.4,26.9,...,100.0,7.7,...,...,17.6,...,31.7,62.3,...,...,...
Solomon Islands,2015,,,,Average,16.8,60.1,...,46.1,0.0,...,...,31.4,...,6.4,86.8,...,...,...
Solomon Islands,2015,Sector,Manufacturing,All,Average,20.1,58.1,...,50.7,0.0,...,...,19.5,...,8.3,79.4,...,...,...
Solomon Islands,2015,Sector,Manufacturing,Manufacturing,Average,20.1,58.1,...,50.7,0.0,...,...,19.5,...,8.3,79.4,...,...,...
Solomon Islands,2015,Sector,Services,All,Average,15.7,60.8,...,44.5,0.0,...,...,35.5,...,5.8,89.3,...,...,...
Solomon Islands,2015,Sector,Services,Services,Average,15.7,60.8,...,44.5,0.0,...,...,35.5,...,5.8,89.3,...,...,...
Solomon Islands,2015,Size,,Medium (20-99),Average,18.2,68.5,...,38.2,0.0,...,...,36.6,...,4.7,90.5,...,...,...
Solomon Islands,2015,Size,,Small (5-19),Average,12.9,56.7,...,48.7,0.0,...,...,27.1,...,6.7,81.4,...,...,...
Solomon Islands,2015,Size,,Large (100+),Average,24.1,36.7,...,70.5,0.0,...,...,25.0,...,13.3,90.2,...,...,...
Solomon Islands,2015,Location,,Honiara,Average,16.8,60.1,...,46.1,0.0,...,...,31.4,...,6.4,86.8,...,...,...
Solomon Islands,2015,Exporter Type,,Direct exports are 10% or more of sales,Average,17.2,50.9,...,65.5,0.0,...,...,36.4,...,19.0,79.0,...,...,...
Solomon Islands,2015,Exporter Type,,Non-exporter,Average,16.8,60.3,...,44.9,0.0,...,...,29.3,...,5.1,90.2,...,...,...
Solomon Islands,2015,Gender of Top Manager,,Top manager is female,Average,16.4,69.1,...,36.7,0.0,...,...,25.3,...,6.1,85.1,...,...,...
Solomon Islands,2015,Gender of Top Manager,,Top manager is male,Average,16.9,57.7,...,48.5,0.0,...,...,33.7,...,6.5,87.2,...,...,...
Solomon Islands,2015,Ownership Type,,Domestic,Average,15.3,97.5,...,0.0,0.0,...,...,37.7,...,2.8,90.1,...,...,...
Solomon Islands,2015,Ownership Type,,10% or more foreign ownership,Average,18.5,16.3,...,100.0,0.0,...,...,24.5,...,11.1,82.9,...,...,...
Sierra Leone,2009,,,,Average,16.3,96.7,...,5.7,0.3,...,...,68.2,...,13.8,20.4,...,...,...
Sierra Leone,2009,Sector,Manufacturing,All,Average,14.6,94.6,...,7.9,0.6,...,...,72.0,...,5.7,15.2,...,...,...
Sierra Leone,2009,Sector,Manufacturing,Manufacturing,Average,14.6,94.6,...,7.9,0.6,...,...,72.0,...,5.7,15.2,...,...,...
Sierra Leone,2009,Sector,Services,All,Average,16.8,97.2,...,5.1,0.2,...,...,67.2,...,15.9,21.8,...,...,...
Sierra Leone,2009,Sector,Services,Services,Average,16.8,97.2,...,5.1,0.2,...,...,67.2,...,15.9,21.8,...,...,...
Sierra Leone,2009,Size,,Small (5-19),Average,16.4,98.3,...,2.6,0.0,...,...,75.6,...,8.1,14.6,...,...,...
Sierra Leone,2009,Size,,Medium (20-99),Average,15.4,90.4,...,19.3,0.0,...,...,23.1,...,45.5,51.0,...,...,...
Sierra Leone,2009,Size,,Large (100+),Average,18.3,63.7,...,56.5,12.2,...,...,4.9,...,75.6,92.8,...,...,...
Sierra Leone,2009,Location,,Free Town,Average,16.0,94.1,...,10.1,0.5,...,...,53.6,...,18.4,32.7,...,...,...
Sierra Leone,2009,Location,,Kenema,Average,16.7,100.0,...,0.0,0.0,...,...,87.0,...,7.9,4.6,...,...,...
Sierra Leone,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Sierra Leone,2009,Exporter Type,,Non-exporter,Average,16.4,96.8,...,5.5,0.3,...,...,68.3,...,13.7,20.3,...,...,...
Sierra Leone,2009,Gender of Top Manager,,Top manager is female,Average,9.9,95.3,...,7.9,0.0,...,...,5.4,...,37.4,45.3,...,...,...
Sierra Leone,2009,Gender of Top Manager,,Top manager is male,Average,16.3,90.9,...,15.2,0.6,...,...,14.9,...,33.7,35.3,...,...,...
Sierra Leone,2009,Ownership Type,,Domestic,Average,16.4,99.9,...,0.0,0.2,...,...,72.1,...,10.4,18.2,...,...,...
Sierra Leone,2009,Ownership Type,,10% or more foreign ownership,Average,15.6,43.5,...,100.0,2.0,...,...,4.0,...,70.8,58.3,...,...,...
El Salvador,2006,,,,Average,18.2,91.2,...,11.0,0.1,...,...,41.6,...,11.0,90.0,...,...,...
El Salvador,2006,Sector,Manufacturing,All,Average,19.2,88.3,...,12.5,0.2,...,...,47.6,...,9.2,77.1,...,...,...
El Salvador,2006,Sector,Manufacturing,Food,Average,25.1,96.6,...,5.5,1.0,...,...,50.6,...,11.0,74.4,...,...,...
El Salvador,2006,Sector,Manufacturing,Garments,Average,15.8,82.5,...,19.0,0.0,...,...,41.3,...,13.7,84.9,...,...,...
El Salvador,2006,Sector,Manufacturing,Non-Metallic Mineral Products,Average,18.1,96.1,...,4.2,0.0,...,...,70.0,...,10.8,58.7,...,...,...
El Salvador,2006,Sector,Manufacturing,Fabricated Metal Products,Average,17.9,99.7,...,1.1,0.0,...,...,54.6,...,9.4,72.6,...,...,...
El Salvador,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,17.5,84.7,...,15.7,0.0,...,...,45.0,...,7.9,79.0,...,...,...
El Salvador,2006,Sector,Services,All,Average,18.0,92.1,...,10.5,0.0,...,...,39.7,...,11.5,94.0,...,...,...
El Salvador,2006,Sector,Services,Retail,Average,21.5,95.2,...,4.8,0.0,...,...,49.7,...,13.0,99.6,...,...,...
El Salvador,2006,Sector,Services,Rest of Universe-Services,Average,17.0,91.3,...,12.0,0.0,...,...,37.0,...,11.1,92.6,...,...,...
El Salvador,2006,Size,,Small (5-19),Average,15.3,94.7,...,6.0,0.0,...,...,56.2,...,6.8,86.9,...,...,...
El Salvador,2006,Size,,Medium (20-99),Average,22.7,89.0,...,14.0,0.0,...,...,14.8,...,12.9,95.1,...,...,...
El Salvador,2006,Size,,Large (100+),Average,29.1,71.2,...,41.0,0.6,...,...,1.5,...,38.5,99.0,...,...,...
El Salvador,2006,Location,,Resto del pais,Average,17.8,93.2,...,9.3,0.1,...,...,47.6,...,14.5,84.9,...,...,...
El Salvador,2006,Location,,San Salvador,Average,18.7,89.3,...,12.6,0.0,...,...,35.7,...,7.5,94.8,...,...,...
El Salvador,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,18.8,76.9,...,24.0,0.7,...,...,21.8,...,13.6,87.0,...,...,...
El Salvador,2006,Exporter Type,,Non-exporter,Average,18.2,92.5,...,9.8,0.0,...,...,43.3,...,10.7,90.2,...,...,...
El Salvador,2006,Ownership Type,,Domestic,Average,17.8,99.9,...,0.0,0.1,...,...,46.6,...,7.8,88.8,...,...,...
El Salvador,2006,Ownership Type,,10% or more foreign ownership,Average,22.3,20.9,...,100.0,0.0,...,...,0.8,...,38.5,99.5,...,...,...
El Salvador,2010,,,,Average,19.2,84.5,...,19.0,0.1,...,...,17.7,...,14.5,96.6,...,...,...
El Salvador,2010,Sector,Manufacturing,All,Average,23.6,85.8,...,19.6,0.2,...,...,11.6,...,18.7,94.9,...,...,...
El Salvador,2010,Sector,Manufacturing,Manufacturing,Average,23.6,85.8,...,19.6,0.2,...,...,11.6,...,18.7,94.9,...,...,...
El Salvador,2010,Sector,Services,All,Average,17.7,84.1,...,18.8,0.0,...,...,19.8,...,13.1,97.2,...,...,...
El Salvador,2010,Sector,Services,Retail,Average,21.8,89.3,...,7.5,0.0,...,...,26.0,...,20.2,99.2,...,...,...
El Salvador,2010,Sector,Services,Other Services,Average,15.3,81.0,...,25.3,0.0,...,...,16.3,...,9.0,96.1,...,...,...
El Salvador,2010,Size,,Small (5-19),Average,15.0,85.5,...,17.1,0.0,...,...,26.9,...,8.4,94.9,...,...,...
El Salvador,2010,Size,,Medium (20-99),Average,24.1,84.7,...,21.0,0.2,...,...,4.4,...,21.7,98.8,...,...,...
El Salvador,2010,Size,,Large (100+),Average,26.8,79.9,...,23.0,0.0,...,...,6.2,...,26.6,99.4,...,...,...
El Salvador,2010,Location,,Rest of the country,Average,19.6,82.0,...,17.5,0.0,...,...,37.7,...,11.7,92.2,...,...,...
El Salvador,2010,Location,,San Salvador,Average,18.9,86.0,...,19.9,0.1,...,...,5.6,...,16.2,99.2,...,...,...
El Salvador,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,25.9,86.8,...,17.3,0.0,...,...,1.9,...,26.4,99.3,...,...,...
El Salvador,2010,Exporter Type,,Non-exporter,Average,17.9,84.0,...,19.4,0.1,...,...,20.6,...,12.5,96.1,...,...,...
El Salvador,2010,Gender of Top Manager,,Top manager is female,Average,16.0,73.5,...,32.6,0.0,...,...,14.0,...,11.7,99.2,...,...,...
El Salvador,2010,Gender of Top Manager,,Top manager is male,Average,20.0,87.5,...,15.3,0.1,...,...,18.7,...,15.2,95.9,...,...,...
El Salvador,2010,Ownership Type,,Domestic,Average,19.8,98.8,...,0.0,0.0,...,...,21.7,...,13.8,95.9,...,...,...
El Salvador,2010,Ownership Type,,10% or more foreign ownership,Average,16.1,23.7,...,100.0,0.3,...,...,0.9,...,16.8,99.6,...,...,...
El Salvador,2016,,,,Average,21.7,87.1,...,11.7,1.9,...,...,34.3,...,5.3,88.7,...,...,...
El Salvador,2016,Sector,Manufacturing,All,Average,27.6,94.6,...,6.0,0.0,...,...,32.9,...,10.7,85.2,...,...,...
El Salvador,2016,Sector,Manufacturing,Food,Average,25.4,99.1,...,1.1,0.0,...,...,42.6,...,6.8,74.5,...,...,...
El Salvador,2016,Sector,Manufacturing,Textiles & Garments,Average,29.2,85.1,...,15.5,0.0,...,...,23.4,...,22.7,89.2,...,...,...
El Salvador,2016,Sector,Manufacturing,Furniture,Average,18.8,99.2,...,1.3,0.0,...,...,64.6,...,3.7,60.6,...,...,...
El Salvador,2016,Sector,Manufacturing,Other Manufacturing,Average,29.0,94.8,...,5.9,0.0,...,...,27.8,...,9.5,92.3,...,...,...
El Salvador,2016,Sector,Services,All,Average,20.1,85.2,...,13.2,2.4,...,...,34.7,...,3.9,89.6,...,...,...
El Salvador,2016,Sector,Services,Retail,Average,21.1,87.6,...,13.0,0.0,...,...,34.5,...,4.1,84.6,...,...,...
El Salvador,2016,Sector,Services,Other Services,Average,19.3,83.1,...,13.4,4.5,...,...,34.9,...,3.7,93.9,...,...,...
El Salvador,2016,Size,,Small (5-19),Average,20.4,89.7,...,7.9,2.7,...,...,41.2,...,2.4,86.1,...,...,...
El Salvador,2016,Size,,Medium (20-99),Average,23.7,82.1,...,19.9,0.0,...,...,22.0,...,8.1,93.8,...,...,...
El Salvador,2016,Size,,Large (100+),Average,28.3,76.8,...,24.3,0.0,...,...,3.2,...,29.7,99.0,...,...,...
El Salvador,2016,Location,,East,Average,19.3,97.0,...,0.0,0.0,...,...,47.3,...,4.1,64.5,...,...,...
El Salvador,2016,Location,,Greater San Salvador,Average,18.8,94.7,...,5.8,0.0,...,...,58.1,...,7.9,88.4,...,...,...
El Salvador,2016,Location,,San Salvador,Average,22.9,82.9,...,15.8,2.7,...,...,24.3,...,5.7,96.0,...,...,...
El Salvador,2016,Location,,West,Average,18.7,99.0,...,1.3,0.0,...,...,67.9,...,1.4,63.2,...,...,...
El Salvador,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,25.0,67.3,...,33.7,0.0,...,...,2.3,...,16.9,99.2,...,...,...
El Salvador,2016,Exporter Type,,Non-exporter,Average,21.4,89.0,...,9.6,2.1,...,...,37.4,...,4.2,87.7,...,...,...
El Salvador,2016,Gender of Top Manager,,Top manager is female,Average,19.1,88.6,...,13.5,0.0,...,...,49.7,...,4.1,82.4,...,...,...
El Salvador,2016,Gender of Top Manager,,Top manager is male,Average,22.6,86.6,...,11.0,2.7,...,...,28.4,...,5.8,91.1,...,...,...
El Salvador,2016,Ownership Type,,Domestic,Average,21.9,96.9,...,0.0,2.2,...,...,38.8,...,5.2,87.6,...,...,...
El Salvador,2016,Ownership Type,,10% or more foreign ownership,Average,20.1,13.2,...,100.0,0.0,...,...,1.6,...,5.5,99.6,...,...,...
Serbia,2009,,,,Average,18.9,91.1,...,8.0,3.3,...,...,40.6,...,21.8,53.9,...,...,...
Serbia,2009,Sector,Manufacturing,All,Average,23.9,88.2,...,8.8,6.2,...,...,46.2,...,36.0,60.2,...,...,...
Serbia,2009,Sector,Manufacturing,Manufacturing,Average,23.9,88.2,...,8.8,6.2,...,...,46.2,...,36.0,60.2,...,...,...
Serbia,2009,Sector,Services,All,Average,15.9,92.8,...,7.5,1.5,...,...,37.3,...,14.2,50.2,...,...,...
Serbia,2009,Sector,Services,Retail,Average,17.4,89.9,...,9.8,1.0,...,...,32.6,...,9.8,39.4,...,...,...
Serbia,2009,Sector,Services,Other Services,Average,15.7,93.4,...,7.1,1.7,...,...,38.3,...,15.1,52.3,...,...,...
Serbia,2009,Size,,Small (5-19),Average,14.5,97.1,...,2.7,0.2,...,...,47.3,...,12.5,47.8,...,...,...
Serbia,2009,Size,,Medium (20-99),Average,22.0,88.7,...,10.4,6.2,...,...,39.3,...,32.0,52.1,...,...,...
Serbia,2009,Size,,Large (100+),Average,33.6,67.5,...,28.3,11.7,...,...,10.8,...,47.7,87.1,...,...,...
Serbia,2009,Location,,Belgrade,Average,17.0,88.0,...,12.3,1.4,...,...,23.2,...,13.0,45.4,...,...,...
Serbia,2009,Location,,Central,Average,17.4,94.4,...,4.5,1.3,...,...,57.1,...,33.0,64.5,...,...,...
